MVNAME,OBO,WD,UA_0.5W_T,UA_0.5W_M24,UA_0.5W_M26,UA_0.5W_F24,UA_0.5W_F26,TA_0.5W_T,TA_0.5W_M24,TA_0.5W_M26,TA_0.5W_F24,TA_0.5W_F26,DI_0.5W_T,DI_0.5W_M24,DI_0.5W_M26,DI_0.5W_F24,DI_0.5W_F26,FC_0.5W_T,FC_0.5W_M24,FC_0.5W_M26,FC_0.5W_F24,FC_0.5W_F26,FCO_0.5W_T,FCO_0.5W_M24,FCO_0.5W_M26,FCO_0.5W_F24,FCO_0.5W_F26,NM_0.5W_T,NM_0.5W_M24,NM_0.5W_M26,NM_0.5W_F24,NM_0.5W_F26,Year,MVID,GENRE1,GENRE2,STUDIO,RATING,DATE,MONTH,WKNDDAY,WKNM,WKNDGRS,WKGRS,SCRNS,PER_SCN,RANK,HOLIDAY,PERCENT,GRS,WW_GRS
LEAP!,4.7,3,12,8,10,15,15,59,59,55,62,63,36,36,30,43,39,8,6,5,12,10,14,9,10,19,20,3,1,1,4,5,2017,64567,FAMILY,ANIMATED,THE WEINSTEIN COMPANY,PG,8/25/2017 1:00,8,3,1,4730038,7915192,2575,1837,3,NA,NA,21856753,NA
LEE DANIELS' THE BUTLER,24.6,3,15,14,13,11,20,74,65,77,72,81,41,36,36,37,55,16,8,13,15,26,13,7,11,12,23,NA,NA,NA,NA,NA,2013,43498,HUMN INTST DRMA,WORKPLACE SETTING,THE WEINSTEIN COMPANY,PG-13,8/16/2013 1:00,8,3,1,24637312,35256813,2933,8400,1,NA,NA,116631310,NA
LEFT BEHIND,6.3,3,11,8,12,11,12,65,58,67,61,72,37,36,35,38,37,7,6,8,6,10,10,8,11,8,13,NA,NA,NA,NA,NA,2014,46962,HUMN INTST DRMA,SCIENCE FICTION,FREESTYLE RELEASING,PG-13,10/3/2014 1:00,10,3,1,6300147,8010872,1825,3452,6,NA,NA,13998282,NA
LEGENDS OF OZ,3.7,3,11,9,10,12,12,72,69,69,78,73,29,24,32,29,30,4,3,4,4,4,11,9,13,10,13,NA,NA,NA,NA,NA,2014,42418,FAMILY,ANIMATED,CLARIUS ENTERTAINMENT,PG,5/9/2014 1:00,5,3,1,3715931,4607021,2607,1425,8,NA,NA,8460990,NA
LET'S BE COPS,17.8,3,28,31,26,30,23,83,86,83,86,78,47,59,38,48,44,12,19,9,11,9,19,23,16,19,14,NA,NA,NA,NA,NA,2014,47098,ZANY COMEDY,COP/DETECTIVE,20TH CENTURY FOX,R,8/13/2014 1:00,8,3,1,17813722,34246168,3094,5758,3,NA,NA,82389560,NA
LIFE (2017),12.5,3,18,17,19,16,20,60,55,65,57,61,37,34,40,35,38,5,4,7,6,8,7,5,8,6,8,0,0,0,0,0,2017,66844,SUSPNS/THRILLER,SCIENCE FICTION,SONY PICTURES,R,3/24/2017 1:00,3,3,1,12501936,16744239,3146,3974,4,NA,NA,30228728,NA
LIGHTS OUT,21.7,3,16,19,11,20,12,51,58,46,56,42,36,37,27,39,36,4,4,2,7,2,9,11,5,13,6,3,3,1,4,3,2016,49218,HORROR,MONSTER/CREATURE,WARNER BROS.,PG-13,7/22/2016 1:00,7,3,1,21688103,32067032,2818,7696,3,NA,NA,67235683,NA
LITTLE BOY,2.8,3,5,5,4,5,6,36,35,39,30,39,22,20,20,19,30,1,1,2,0,0,3,3,3,0,3,1,1,1,0,1,2015,48786,HUMN INTST DRMA,ABOUT FAMILY,SUNDANCE SELECTS,PG-13,4/24/2015 1:00,4,3,1,2750356,3369615,1045,2632,13,NA,NA,6468880,NA
LIVE BY NIGHT,6,4,6,6,7,5,6,49,44,61,40,49,30,37,29,24,31,3,1,5,1,4,4,4,5,2,4,0,0,0,0,0,2017,46547,SUSPNS/THRILLER,PERIOD,WARNER BROS.,R,1/13/2017 0:00,1,4,4,6003052,7481705,2822,2127,12,MARTIN LUTHER KING,NA,10377558,NA
LOGAN,88.4,3,41,42,47,40,36,86,89,93,78,84,66,67,76,58,61,24,28,35,16,19,37,42,48,26,34,17,17,25,10,14,2017,47846,ACTION DRAMA,SCIENCE FICTION,20TH CENTURY FOX,R,3/3/2017 0:00,3,3,1,88411916,114806733,4071,21717,1,NA,NA,226276809,NA
LOGAN LUCKY,7.6,3,14,17,15,14,13,62,60,69,57,58,35,33,36,35,33,5,4,7,3,4,8,9,10,5,5,3,3,4,2,2,2017,68379,ACTION COMEDY,CRIME THEME,BLEECKER STREET MEDIA,PG-13,8/18/2017 1:00,8,3,1,7600036,10667414,3031,2507,3,NA,NA,27778124,NA
LONDON HAS FALLEN,21.6,3,18,17,18,16,20,73,75,80,64,75,41,42,45,35,43,11,11,14,5,12,18,16,24,11,20,3,2,5,2,3,2016,48267,ACTION DRAMA,ESPIONAGE,FOCUS FEATURES,R,3/4/2016 0:00,3,3,1,21635601,28182052,3490,6199,2,NA,NA,62506916,NA
LONE SURVIVOR,37.8,3,16,19,17,12,16,67,74,77,54,61,40,43,48,31,37,9,15,14,4,8,14,21,18,5,11,NA,NA,NA,NA,NA,2014,43181,ACTION DRAMA,WAR,UNIVERSAL,R,1/10/2014 0:00,1,3,3,37849910,50428560,2875,13165,1,NA,NA,125069696,NA
LOVE THE COOPERS,8.3,3,13,12,10,13,15,58,50,55,59,67,35,30,27,35,43,4,4,3,3,10,14,10,5,16,20,2,0,1,2,2,2015,49935,HUMN INTST CMDY,CHRISTMAS/THANKSGIVING,LIONS GATE FILMS,PG-13,11/13/2015 0:00,11,3,1,8317545,8317545,2603,3195,3,NA,NA,26284475,NA
LOWRIDERS,2.4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,67598,HUMN INTST DRMA,LATIN,OTL RELEASING,PG-13,5/12/2017 1:00,5,3,1,2403885,3028385,295,8149,8,NA,NA,6155650,NA
