MVNAME,OBO,WD,UA_0.5W_T,UA_0.5W_M24,UA_0.5W_M26,UA_0.5W_F24,UA_0.5W_F26,TA_0.5W_T,TA_0.5W_M24,TA_0.5W_M26,TA_0.5W_F24,TA_0.5W_F26,DI_0.5W_T,DI_0.5W_M24,DI_0.5W_M26,DI_0.5W_F24,DI_0.5W_F26,FC_0.5W_T,FC_0.5W_M24,FC_0.5W_M26,FC_0.5W_F24,FC_0.5W_F26,FCO_0.5W_T,FCO_0.5W_M24,FCO_0.5W_M26,FCO_0.5W_F24,FCO_0.5W_F26,NM_0.5W_T,NM_0.5W_M24,NM_0.5W_M26,NM_0.5W_F24,NM_0.5W_F26,Year,MVID,GENRE1,GENRE2,STUDIO,RATING,DATE,MONTH,WKNDDAY,WKNM,WKNDGRS,WKGRS,SCRNS,PER_SCN,RANK,HOLIDAY,PERCENT,GRS,WW_GRS
42,27.5,3,17,19,16,17,17,58,59,67,50,54,38,39,38,35,44,9,10,10,6,10,13,16,16,8,16,NA,NA,NA,NA,NA,2013,42307,HUMN INTST DRMA,BIOGRAPHICAL,WARNER BROS.,PG-13,4/12/2013 1:00,4,3,1,27487144,36032101,3003,9153,1,NA,NA,95001343,NA
10 CLOVERFIELD LANE,24.7,3,18,17,19,15,22,66,63,72,60,71,38,44,38,37,35,7,8,6,9,6,14,15,16,14,11,3,3,4,3,3,2016,63506,SUSPNS/THRILLER,SCIENCE FICTION,PARAMOUNT,PG-13,3/11/2016 0:00,3,3,1,24702752,32676639,3391,7285,2,NA,NA,72055218,NA
12 YEARS A SLAVE,6.7,3,12,7,11,15,15,57,51,62,50,66,38,27,42,36,42,6,4,7,6,7,10,4,10,9,15,NA,NA,NA,NA,NA,2013,42156,HUMN INTST DRMA,REAL EVENTS,FOX SEARCHLIGHT PICTURES,R,11/8/2013 0:00,11,3,4,6675731,9503204,1144,5835,7,NA,39,56667870,NA
13 HOURS: THE SECRET SOLDIERS OF BENGHAZI,19.2,4,9,9,11,6,9,57,56,67,46,60,36,40,39,30,33,6,6,7,2,7,8,9,11,4,9,1,1,1,0,1,2016,63815,ACTION DRAMA,REAL EVENTS,PARAMOUNT,R,1/15/2016 0:00,1,4,1,19224408,23733429,2389,8047,4,MARTIN LUTHER KING,NA,52822418,NA
2 GUNS,27.1,3,18,21,22,13,16,75,79,87,62,73,42,41,43,39,43,10,9,12,6,9,18,19,21,12,19,NA,NA,NA,NA,NA,2013,42830,ACTION COMEDY,CRIME THEME,UNIVERSAL,R,8/2/2013 1:00,8,3,1,27059130,37388905,3025,8945,1,NA,NA,75573300,NA
21 AND OVER,8.8,3,15,17,13,16,12,66,71,67,69,58,35,44,29,39,26,5,5,3,5,3,10,13,6,12,8,NA,NA,NA,NA,NA,2013,40638,ZANY COMEDY,ACADEMIC SETTING,RELATIVITY MEDIA,R,3/1/2013 0:00,3,3,1,8754168,11783975,2771,3159,3,NA,NA,25675765,NA
22 JUMP STREET,57.1,3,32,32,31,34,33,94,93,91,97,94,53,59,46,58,46,16,21,11,21,12,25,32,20,29,20,NA,NA,NA,NA,NA,2014,45037,ACTION COMEDY,COP/DETECTIVE,COLUMBIA PICTURES,R,6/13/2014 1:00,6,3,1,57071445,82450130,3306,17263,1,NA,NA,191719337,NA
3 DAYS TO KILL,12.2,3,17,18,17,14,19,71,71,77,58,78,38,34,43,31,39,8,4,11,4,9,12,9,19,5,15,NA,NA,NA,NA,NA,2014,44091,SUSPNS/THRILLER,CRIME THEME,RELATIVITY MEDIA,PG-13,2/21/2014 0:00,2,3,1,12242218,15800883,2872,4263,2,NA,NA,30688364,NA
300: RISE OF AN EMPIRE,45,3,24,27,28,19,22,80,88,90,71,73,49,56,60,39,41,19,26,30,10,11,30,41,42,19,18,NA,NA,NA,NA,NA,2014,42186,ACTION DRAMA,PERIOD,WARNER BROS.,R,3/7/2014 0:00,3,3,1,45038460,59205553,3470,12979,1,NA,NA,106570809,NA
47 METERS DOWN,11.2,3,7,6,6,12,7,53,53,54,56,49,34,40,32,40,31,4,3,4,8,3,8,9,8,11,5,2,1,2,5,1,2017,66970,SUSPNS/THRILLER,AERIAL/NAUTICAL,ENTERTAINMENT STUDIOS MOTION PICTURES,PG-13,6/16/2017 1:00,6,3,1,11205562,16825932,2270,4936,5,NA,NA,44307164,NA
47 RONIN (2013),9.9,3,11,13,13,9,10,59,63,73,46,54,36,41,38,30,30,5,8,7,4,3,8,11,11,5,6,NA,NA,NA,NA,NA,2013,38830,ACTION DRAMA,MARTIAL ARTS,UNIVERSAL,PG-13,12/25/2013 0:00,12,3,1,9910310,27630465,2689,3686,9,CHRISTMAS,NA,38297305,NA
90 MINUTES IN HEAVEN,2,3,4,4,3,5,4,46,47,45,44,47,33,27,32,37,37,3,3,3,2,4,9,8,7,6,13,0,0,0,0,0,2015,64265,HUMN INTST DRMA,SPIRITUALITY,SAMUEL GOLDWYN FILMS,PG-13,9/11/2015 1:00,9,3,1,2035273,2742296,877,2321,9,NA,NA,4772283,NA
"BAD MOMS CHRISTMAS, A",21.3,3,32,21,22,38,46,85,79,80,87,93,43,37,32,52,51,10,5,6,12,17,21,13,14,23,32,7,2,5,6,13,2017,69146,HUMN INTST CMDY,ENSEMBLE CAST,STX ENTERTAINMENT,R,11/1/2017 1:00,11,3,1,16759161,28363626,3615,4636,2,NA,NA,72087401,NA
"CURE FOR WELLNESS, A",5,4,10,10,9,13,8,57,57,57,58,56,37,41,29,41,35,5,5,2,8,4,10,13,5,13,8,1,2,1,2,1,2017,63604,SUSPNS/THRILLER,SCIENCE FICTION,20TH CENTURY FOX,R,2/17/2017 0:00,2,4,1,5004463,6095250,2704,1851,11,PRESIDENT'S DAY,NA,8103139,NA
"DOG'S PURPOSE, A",18.2,3,25,21,21,32,26,84,77,77,91,88,42,40,34,51,41,9,7,5,16,9,18,15,11,27,19,6,2,3,12,6,2017,65517,FAMILY,LIVE ACTION,UNIVERSAL,PG,1/27/2017 0:00,1,3,1,18222810,22101265,3058,5959,2,NA,NA,64304940,NA
"GOOD DAY TO DIE HARD, A",28.6,4,24,28,30,16,21,89,94,98,75,87,50,57,59,35,48,22,27,34,7,17,27,31,39,10,24,NA,NA,NA,NA,NA,2013,41083,ACTION DRAMA,COP/DETECTIVE,20TH CENTURY FOX,R,2/14/2013 0:00,2,4,1,28640657,41802264,3553,8061,1,PRESIDENT'S DAY,NA,67344392,NA
"HAUNTED HOUSE, A",18.1,3,18,22,15,17,16,69,75,67,71,63,40,47,34,46,36,6,9,3,9,3,12,18,7,18,6,NA,NA,NA,NA,NA,2013,43394,ZANY COMEDY,SPOOF,OPEN ROAD FILMS,R,1/11/2013 0:00,1,3,1,18101682,21613179,2160,8380,2,NA,NA,40041683,NA
"HAUNTED HOUSE 2, A",8.8,3,13,13,12,14,14,73,79,70,74,68,34,41,27,38,29,4,5,3,6,4,11,13,7,13,9,NA,NA,NA,NA,NA,2014,44878,ZANY COMEDY,SPOOF,OPEN ROAD FILMS,R,4/18/2014 1:00,4,3,1,8843875,10980656,2310,3829,5,EASTER,NA,17314484,NA
"MILLION WAYS TO DIE IN THE WEST, A",16.8,3,17,18,18,15,18,83,88,86,80,79,41,46,48,33,36,9,12,14,4,7,14,19,19,7,11,NA,NA,NA,NA,NA,2014,45180,ZANY COMEDY,WESTERN,UNIVERSAL,R,5/30/2014 1:00,5,3,1,16797385,22989970,3158,5319,3,NA,NA,42615685,NA
"MOST WANTED MAN, A",3.2,3,3,2,2,3,3,38,33,46,33,40,29,31,28,27,31,1,0,0,1,4,4,3,4,2,5,NA,NA,NA,NA,NA,2014,44680,SUSPNS/THRILLER,ESPIONAGE,ROADSIDE ATTRACTIONS,R,8/1/2014 1:00,8,3,2,3240980,4477584,726,4464,10,NA,21,17237244,NA
"WALK AMONG THE TOMBSTONES, A",12.8,3,17,18,21,14,16,72,74,83,61,71,44,51,48,35,42,8,8,12,5,7,17,19,24,11,14,NA,NA,NA,NA,NA,2014,46091,SUSPNS/THRILLER,CRIME THEME,UNIVERSAL,R,9/19/2014 1:00,9,3,1,12758780,16637505,2712,4705,2,NA,NA,25977365,NA
"WALK IN THE WOODS, A",10.9,4,16,15,13,14,22,63,59,66,60,68,27,22,24,26,32,6,6,8,3,6,17,12,14,16,27,3,2,2,2,6,2015,62930,HUMN INTST CMDY,BUDDY,BROAD GREEN PICTURES,R,9/2/2015 1:00,9,4,1,10908832,15256925,1960,5566,2,LABOR DAY,NA,29489509,NA
ABOUT LAST NIGHT (2014),27.8,4,22,21,19,24,25,65,64,62,67,69,34,31,26,37,40,6,5,2,9,10,9,7,6,10,13,NA,NA,NA,NA,NA,2014,43361,ROMANTIC COMEDY,BOY MEETS GIRL,SONY SCREEN GEMS,R,2/14/2014 0:00,2,4,1,27838201,30746290,2253,12356,2,PRESIDENT'S DAY,NA,48637684,NA
ABOUT TIME,4.8,3,12,10,9,15,15,45,31,40,54,54,26,23,26,32,24,2,0,1,4,2,4,0,2,7,6,NA,NA,NA,NA,NA,2013,42893,ROMANTIC COMEDY,SCIENCE FICTION,UNIVERSAL,R,11/8/2013 0:00,11,3,2,4758070,6587975,1200,3965,9,NA,342,15294553,NA
ADDICTED (2014),7.5,3,8,7,9,9,8,43,43,43,40,46,34,35,30,35,37,4,2,4,4,6,4,3,4,4,7,NA,NA,NA,NA,NA,2014,43751,HUMN INTST DRMA,ABOUT FAMILY,LIONS GATE FILMS,R,10/10/2014 1:00,10,3,1,7485346,9370454,846,8848,7,COLUMBUS DAY,NA,17382982,NA
ADMISSION,6.2,3,10,9,9,9,11,57,50,60,52,64,29,25,23,33,33,5,1,6,7,9,9,6,9,8,11,NA,NA,NA,NA,NA,2013,43455,HUMN INTST CMDY,ACADEMIC SETTING,FOCUS FEATURES,PG-13,3/22/2013 1:00,3,3,1,6154984,8508878,2160,2850,5,NA,NA,18004225,NA
AFTER EARTH,27.5,3,20,23,19,20,17,88,88,89,87,89,43,45,45,43,39,10,10,15,8,10,18,18,22,14,15,NA,NA,NA,NA,NA,2013,40790,ACTION ADVENTURE,SCIENCE FICTION,SONY PICTURES,PG-13,5/31/2013 1:00,5,3,1,27520040,35391569,3401,8092,3,NA,NA,60522097,NA
"ALEXANDER AND THE TERRIBLE, HORRIBLE, NO GOOD, VERY BAD DAY",18.4,3,19,15,17,24,21,83,81,81,88,83,38,37,31,42,42,7,8,4,10,7,13,13,5,20,15,NA,NA,NA,NA,NA,2014,45377,FAMILY,LIVE ACTION,DISNEY,PG,10/10/2014 1:00,10,3,1,18360230,24831665,3088,5946,3,COLUMBUS DAY,NA,66950483,NA
ALICE THROUGH THE LOOKING GLASS,33.5,4,31,27,25,39,32,90,83,85,100,92,50,41,47,59,50,10,5,7,17,11,19,10,14,32,20,6,3,4,10,6,2016,46676,FAMILY,LIVE ACTION,DISNEY,PG,5/27/2016 1:00,5,4,1,33507621,40081597,3763,8904,2,MEMORIAL DAY,NA,77037635,NA
ALIEN: COVENANT,36.2,3,26,28,31,17,22,82,83,89,70,80,45,51,52,35,37,11,14,16,4,7,24,29,33,11,16,8,12,11,3,4,2017,47847,HORROR,SCIENCE FICTION,20TH CENTURY FOX,R,5/19/2017 1:00,5,3,1,36160621,46822181,3761,9615,1,NA,NA,74255908,NA
ALL EYEZ ON ME,26.4,3,11,11,11,12,12,48,52,49,46,46,38,43,38,42,32,6,10,5,5,6,10,14,9,9,11,5,6,4,5,5,2017,67772,HUMN INTST DRMA,BIOGRAPHICAL,LIONS GATE FILMS,R,6/16/2017 1:00,6,3,1,26435354,32792319,2471,10698,3,NA,NA,44892121,NA
ALL THE MONEY IN THE WORLD,2.6,4,7,4,9,4,6,62,57,73,48,57,31,32,32,27,32,4,3,5,1,3,9,8,11,3,9,1,0,2,0,1,2017,70558,HUMN INTST DRMA,KIDNAPPING/HOSTAGE,SONY PICTURES,R,12/25/2017 0:00,12,4,1,2565393,11039898,2074,1237,13,CHRISTMAS,0,24530696,NA
ALLIED,12.7,3,15,13,14,15,18,64,62,71,54,69,38,41,39,34,39,5,5,6,3,5,7,7,8,4,8,1,1,1,1,2,2016,65450,HUMN INTST DRMA,WAR,PARAMOUNT,R,11/23/2016 0:00,11,3,1,12701743,21877432,3160,4020,4,THANKSGIVING,NA,40069087,NA
ALMOST CHRISTMAS,15.1,3,17,13,15,21,17,67,70,63,68,67,42,43,37,46,41,8,6,5,11,10,14,12,14,17,16,2,2,1,5,3,2016,63615,HUMN INTST CMDY,ABOUT FAMILY,UNIVERSAL,PG-13,11/11/2016 0:00,11,3,1,15134235,18380740,2376,6370,4,NA,NA,42031230,NA
ALOHA,9.7,3,17,16,17,18,18,62,56,61,65,68,28,23,21,34,33,5,4,4,7,9,7,3,5,10,11,3,2,1,3,4,2015,47508,ROMANTIC COMEDY,MILITARY THEME,COLUMBIA/TRISTAR,PG-13,5/29/2015 1:00,5,3,1,9670235,13041804,2815,3435,6,NA,NA,21052030,NA
ALVIN AND THE CHIPMUNKS: THE ROAD CHIP,14.3,3,25,23,23,25,29,85,81,79,88,91,31,33,22,34,36,4,5,2,5,9,9,9,5,9,13,2,1,0,1,5,2015,45371,FAMILY,ANIMATED,20TH CENTURY FOX,PG,12/18/2015 0:00,12,3,1,14287159,26705653,3653,3911,2,NA,NA,85884815,NA
AMERICAN ASSASSIN,14.8,3,18,18,20,14,16,77,75,84,66,76,43,47,47,36,39,8,11,11,3,6,25,27,35,12,17,4,5,4,1,4,2017,68418,ACTION DRAMA,MILITARY THEME,LIONS GATE FILMS,R,9/15/2017 1:00,9,3,1,14846778,19929459,3154,4707,2,NA,NA,36214422,NA
AMERICAN HUSTLE,19.1,3,19,19,20,18,19,72,66,80,69,74,39,33,45,36,42,9,6,10,7,13,13,8,17,9,18,NA,NA,NA,NA,NA,2013,42362,HUMN INTST DRMA,CRIME THEME,COLUMBIA/TRISTAR,R,12/20/2013 0:00,12,3,2,19106933,39336985,2507,7621,4,NA,2480,150117807,NA
AMERICAN MADE,16.8,3,18,17,21,12,17,76,68,84,68,75,38,40,44,30,30,7,7,9,2,7,14,14,16,5,14,3,4,3,1,4,2017,63456,ACTION DRAMA,CRIME THEME,UNIVERSAL,R,9/29/2017 1:00,9,3,1,16776390,22371960,3024,5548,3,NA,NA,51326700,NA
AMERICAN SNIPER,107.2,4,32,33,38,26,32,89,92,93,78,92,61,66,71,48,59,23,30,30,11,23,31,38,41,18,26,NA,NA,NA,NA,NA,2015,49210,ACTION DRAMA,WAR,WARNER BROS.,R,1/16/2015 0:00,1,4,4,107211457,132347335,3555,30158,1,MARTIN LUTHER KING,NA,350123480,NA
AMERICAN ULTRA,5.5,3,12,13,10,12,12,57,61,59,55,55,32,36,34,30,31,5,6,7,6,2,9,8,11,9,7,2,2,2,1,1,2015,47709,ACTION COMEDY,CHASE,LIONS GATE FILMS,R,8/21/2015 1:00,8,3,1,5454284,7688109,2778,1963,6,NA,NA,14434604,NA
ANCHORMAN 2: THE LEGEND CONTINUES,26.2,3,33,36,36,30,31,87,89,90,86,85,46,57,47,42,34,12,17,15,11,7,18,28,21,12,10,NA,NA,NA,NA,NA,2013,42556,ZANY COMEDY,ENTERTAINMENT SETTING,PARAMOUNT,PG-13,12/18/2013 0:00,12,3,1,26232425,63517018,3507,7480,2,NA,NA,127343680,NA
AND SO IT GOES,4.6,3,7,5,7,6,9,45,32,48,41,58,24,23,20,24,30,3,1,0,3,7,4,1,3,4,8,NA,NA,NA,NA,NA,2014,44205,HUMN INTST CMDY,ABOUT FAMILY,CLARIUS ENTERTAINMENT,PG-13,7/25/2014 1:00,7,3,1,4642329,7128783,1762,2635,8,NA,NA,15155772,NA
ANNABELLE,37.1,3,31,28,20,42,34,78,79,73,82,77,42,51,35,47,35,12,14,7,18,9,19,21,15,26,17,NA,NA,NA,NA,NA,2014,47631,HORROR,SUPERNATURAL,WARNER BROS.,R,10/3/2014 1:00,10,3,1,37134255,45790572,3185,11659,2,NA,NA,84263837,NA
ANNABELLE: CREATION,35,3,24,19,17,36,29,74,79,69,84,73,39,45,33,46,40,12,14,10,21,10,14,18,12,24,11,9,6,7,17,7,2017,64832,HORROR,SUPERNATURAL,WARNER BROS.,R,8/11/2017 1:00,8,3,1,35006404,48544221,3502,9996,1,NA,NA,102080788,NA
ANNIE (2014),15.9,3,30,25,26,37,32,89,81,89,96,94,31,26,22,42,35,6,4,2,10,8,15,11,9,19,20,NA,NA,NA,NA,NA,2014,44545,FAMILY,LIVE ACTION,SONY PICTURES,PG,12/19/2014 0:00,12,3,1,15861939,29235025,3116,5090,3,NA,NA,85911262,NA
ANT-MAN,57.2,3,34,36,33,33,34,91,94,91,88,93,47,59,53,39,40,15,21,17,11,9,24,32,28,16,18,15,19,19,9,10,2015,43644,ACTION ADVENTURE,SUPERHERO,DISNEY,PG-13,7/17/2015 1:00,7,3,1,57225526,81310529,3856,14841,1,NA,NA,180191634,NA
ARRIVAL,24.1,3,14,15,15,13,15,61,65,68,49,64,42,40,48,37,42,6,6,5,3,5,10,10,12,7,12,1,1,2,1,2,2016,66741,ACTION DRAMA,SCIENCE FICTION,PARAMOUNT,PG-13,11/11/2016 0:00,11,3,1,24074047,31570799,2317,10390,3,NA,NA,100501349,NA
"AS ABOVE, SO BELOW",10.3,4,13,13,12,16,10,52,56,52,53,49,32,32,30,35,31,5,5,2,6,4,7,7,7,9,6,NA,NA,NA,NA,NA,2014,47198,HORROR,FAKE DOCUMENTARY/REA,UNIVERSAL,R,8/29/2014 1:00,8,4,1,10284110,11852745,2640,3895,5,LABOR DAY,NA,21197315,NA
ASSASSIN'S CREED,14.8,4,19,25,20,16,15,86,91,89,83,81,44,61,46,34,35,10,18,13,6,6,14,23,17,9,8,4,7,7,2,1,2016,45334,ACTION DRAMA,SCIENCE FICTION,20TH CENTURY FOX,PG-13,12/21/2016 0:00,12,4,1,14800946,31043518,2970,4983,5,CHRISTMAS,NA,54645723,NA
ATOMIC BLONDE,18.3,3,24,17,26,23,26,78,74,82,75,78,38,36,40,38,38,8,3,9,10,7,12,7,12,14,13,5,2,5,8,6,2017,64874,SUSPNS/THRILLER,WAR,FOCUS FEATURES,R,7/28/2017 1:00,7,3,1,18286420,25880375,3304,5535,4,NA,NA,51536935,NA
AUGUST: OSAGE COUNTY,7.2,3,8,5,7,6,13,47,38,50,39,63,28,13,26,28,39,5,0,4,3,11,5,1,5,4,8,NA,NA,NA,NA,NA,2014,42820,HUMN INTST DRMA,ABOUT FAMILY,THE WEINSTEIN COMPANY,R,1/10/2014 0:00,1,3,3,7158265,10043885,905,7910,7,NA,5016,37738400,NA
AVENGERS: AGE OF ULTRON,191.3,3,53,59,56,48,51,96,98,98,95,96,72,81,81,65,63,41,51,50,33,34,53,63,62,43,43,38,43,45,29,32,2015,43188,ACTION ADVENTURE,SUPERHERO,DISNEY,PG-13,5/1/2015 1:00,5,3,1,191271109,235655468,4276,44731,1,NA,NA,458991599,NA
BABY DRIVER,20.6,3,20,21,20,19,21,69,72,72,65,67,32,38,29,34,32,5,6,6,4,5,10,13,11,8,8,4,3,5,3,4,2017,64486,ACTION DRAMA,CRIME THEME,TRISTAR PICTURES,R,6/28/2017 1:00,6,3,1,20553320,44133072,3226,6371,2,FOURTH OF JULY,NA,107816745,NA
BAD MOMS,23.8,3,22,15,18,27,27,83,72,82,88,89,43,39,33,47,49,8,5,4,10,14,14,10,8,15,22,4,2,3,4,8,2016,63594,HUMN INTST CMDY,ENSEMBLE CAST,STX ENTERTAINMENT,R,7/29/2016 1:00,7,3,1,23817340,36846830,3215,7408,3,NA,NA,113217955,NA
BAD SANTA 2,6.2,3,19,19,20,18,19,84,84,87,77,87,41,47,45,38,35,10,10,14,7,8,12,12,17,7,11,4,5,4,3,4,2016,64729,HUMN INTST CMDY,CHRISTMAS/THANKSGIVING,BROAD GREEN PICTURES,R,11/23/2016 0:00,11,3,1,6176680,11001043,2920,2115,7,THANKSGIVING,NA,17782176,NA
BAGGAGE CLAIM,9,3,14,13,14,15,15,49,39,45,54,56,31,29,28,32,32,5,3,4,6,7,7,4,6,7,9,NA,NA,NA,NA,NA,2013,42870,ROMANTIC COMEDY,AF.AM.,FOX SEARCHLIGHT PICTURES,PG-13,9/27/2013 1:00,9,3,1,9031102,11060081,2027,4455,4,NA,NA,21569509,NA
BARBERSHOP: THE NEXT CUT,20.2,3,19,16,17,21,22,73,71,75,66,78,36,38,31,43,35,8,8,5,8,9,12,15,8,11,13,3,2,2,4,5,2016,63551,HUMN INTST CMDY,AF.AM.,WARNER BROS.,PG-13,4/15/2016 1:00,4,3,1,20242415,25201492,2661,7607,2,NA,NA,54014580,NA
BATMAN V SUPERMAN: DAWN OF JUSTICE,166,3,44,51,48,39,40,95,99,98,91,94,69,79,75,59,61,35,50,47,21,24,43,57,58,28,33,26,32,33,19,21,2016,45995,ACTION ADVENTURE,SUPERHERO,WARNER BROS.,PG-13,3/25/2016 1:00,3,3,1,166007347,209072793,4242,39134,1,EASTER,NA,330249062,NA
BATTLE OF THE SEXES (2017),3.4,3,3,2,2,1,5,53,42,58,42,57,29,25,26,34,33,2,1,1,2,3,6,3,3,3,13,0,0,0,0,1,2017,66846,HUMN INTST CMDY,SPORTS,FOX SEARCHLIGHT PICTURES,PG-13,9/29/2017 1:00,9,3,2,3417342,4604417,1213,2817,6,NA,563,12634281,NA
BATTLE OF THE YEAR,4.6,3,5,5,5,5,5,44,51,45,47,36,28,30,22,34,24,3,3,2,4,1,9,11,6,11,7,NA,NA,NA,NA,NA,2013,41056,HUMN INTST DRMA,DANCE,SONY SCREEN GEMS,PG-13,9/20/2013 1:00,9,3,1,4603177,5468292,2008,2292,5,NA,NA,8888355,NA
BAYWATCH,23.1,4,34,26,32,38,37,95,92,93,98,97,36,39,34,42,34,8,9,8,10,7,17,17,15,22,18,7,5,9,7,6,2017,65574,ACTION COMEDY,WORKPLACE SETTING,PARAMOUNT,R,5/25/2017 1:00,5,4,1,23106943,33224438,3647,6336,3,MEMORIAL DAY,NA,58009442,NA
BEARS,4.8,3,9,6,9,10,12,57,53,48,63,64,28,25,26,24,34,4,4,3,2,6,6,5,5,5,8,NA,NA,NA,NA,NA,2014,43591,DOCUMENTARY,ANIMAL THEME,DISNEY,G,4/18/2014 1:00,4,3,1,4776267,7546937,1720,2777,10,EASTER,NA,17769442,NA
BEAUTIFUL CREATURES (2013),8.9,4,20,17,15,25,22,68,61,64,78,72,32,28,25,38,35,6,3,2,10,7,8,5,4,11,9,NA,NA,NA,NA,NA,2013,41902,ROMANTIC DRAMA,FANTASY,WARNER BROS.,PG-13,2/14/2013 0:00,2,4,1,8945261,12962265,2950,3032,6,PRESIDENT'S DAY,NA,19445217,NA
BEAUTY AND THE BEAST (2017),174.8,3,47,31,38,60,59,97,92,93,100,100,61,41,45,81,76,27,11,13,46,37,39,18,23,61,54,21,8,8,34,31,2017,63027,FAMILY,LIVE ACTION,DISNEY,PG,3/17/2017 1:00,3,3,1,174750616,228605887,4210,41508,1,NA,NA,503974884,NA
BEFORE I FALL,4.7,3,9,8,6,13,8,49,45,38,63,52,31,27,25,38,31,2,1,2,4,2,7,3,3,14,9,1,0,0,3,1,2017,68163,HUMN INTST DRMA,COMING-OF-AGE,OPEN ROAD FILMS,PG-13,3/3/2017 0:00,3,3,1,4690214,5928812,2346,1999,6,NA,NA,12230741,NA
BEFORE I GO TO SLEEP,1.8,3,6,7,4,5,7,48,42,50,41,57,30,28,25,27,37,2,1,1,1,2,4,2,2,4,4,NA,NA,NA,NA,NA,2014,44397,SUSPNS/THRILLER,PSYCHOLOGICAL,CLARIUS ENTERTAINMENT,R,10/31/2014 1:00,10,3,1,1843347,2631304,1935,953,15,NA,NA,3216900,NA
BEFORE MIDNIGHT,1.4,3,5,4,6,4,4,27,26,36,22,29,19,15,19,20,22,1,0,1,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,2013,44247,ROMANTIC DRAMA,BOY MEETS GIRL,SONY PICTURES CLASSICS,R,6/14/2013 1:00,6,3,4,1382719,2045394,897,1541,13,NA,163,8114507,NA
BEN-HUR (2016),11.2,3,17,16,20,14,19,67,67,79,55,70,33,36,38,26,32,6,4,8,3,7,9,8,12,4,10,3,3,3,2,3,2016,48280,ACTION DRAMA,PERIOD,PARAMOUNT,PG-13,8/19/2016 1:00,8,3,1,11203815,15022877,3084,3633,6,NA,NA,26384681,NA
BEYOND THE LIGHTS,6.2,3,11,8,7,12,15,47,40,44,50,53,35,30,31,37,43,5,3,4,7,6,10,6,6,13,13,NA,NA,NA,NA,NA,2014,46824,HUMN INTST DRMA,MUSIC-THEMED,RELATIVITY MEDIA,PG-13,11/14/2014 0:00,11,3,1,6200284,7493777,1789,3466,4,NA,NA,14617945,NA
BIG HERO 6,56.2,3,34,35,30,36,34,81,82,83,82,77,49,45,42,55,53,8,11,6,7,7,25,25,15,31,26,NA,NA,NA,NA,NA,2014,43646,FAMILY,ANIMATED,DISNEY,PG,11/7/2014 0:00,11,3,1,56215889,75643891,3761,14947,1,NA,NA,222520426,NA
BIRTH OF THE DRAGON,2.7,3,4,3,6,2,4,43,45,49,36,38,39,42,41,30,36,5,4,8,2,3,10,9,15,5,7,1,0,1,0,0,2017,70282,ACTION DRAMA,MARTIAL ARTS,OTL RELEASING,PG-13,8/25/2017 1:00,8,3,1,2702430,4138200,1618,1670,8,NA,NA,6895695,NA
BLACK MASS,22.6,3,21,20,28,18,17,68,69,78,60,65,46,44,53,41,44,11,7,18,6,10,18,14,31,11,17,5,3,12,3,3,2015,48844,SUSPNS/THRILLER,CRIME THEME,WARNER BROS.,R,9/18/2015 1:00,9,3,1,22635037,31098179,3188,7100,2,NA,NA,62563543,NA
BLACK NATIVITY,3.7,3,5,5,5,5,5,39,32,44,38,43,26,26,23,24,32,3,1,3,2,4,4,4,4,4,5,NA,NA,NA,NA,NA,2013,44577,HUMN INTST DRMA,CHRISTMAS/THANKSGIVING,FOX SEARCHLIGHT PICTURES,PG,11/27/2013 0:00,11,3,1,3669530,5378003,1516,2421,9,THANKSGIVING,NA,7017177,NA
BLACK OR WHITE,6.2,3,15,12,14,16,17,68,59,70,64,81,39,29,36,38,49,10,3,11,10,16,12,4,12,10,22,NA,NA,NA,NA,NA,2015,49939,HUMN INTST DRMA,ABOUT FAMILY,RELATIVITY MEDIA,PG-13,1/30/2015 0:00,1,3,1,6213362,8602684,1823,3408,4,SUPERBOWL,NA,21569041,NA
BLACKHAT,4.5,4,14,12,16,14,15,59,62,66,51,59,33,36,36,26,32,3,3,4,3,2,6,7,8,5,2,NA,NA,NA,NA,NA,2015,46741,SUSPNS/THRILLER,ESPIONAGE,UNIVERSAL,R,1/16/2015 0:00,1,4,1,4491010,5429150,2567,1750,11,MARTIN LUTHER KING,NA,7830210,NA
BLADE RUNNER 2049,32.8,3,36,32,38,30,38,89,84,93,86,88,48,50,58,35,40,17,13,28,8,12,25,24,37,14,17,12,8,19,3,9,2017,66269,ACTION DRAMA,SCIENCE FICTION,WARNER BROS.,R,10/6/2017 1:00,10,3,1,32753122,45478387,4058,8071,1,NA,NA,92044134,NA
BLAIR WITCH,9.6,3,19,22,17,20,18,81,80,85,78,80,35,44,30,37,30,10,15,10,9,8,21,26,19,25,15,4,6,3,4,4,2016,67283,HORROR,SUPERNATURAL,LIONS GATE FILMS,R,9/16/2016 1:00,9,3,1,9576057,12178695,3121,3068,2,NA,NA,20747013,NA
BLEED FOR THIS,2.4,3,5,4,5,3,5,39,45,45,31,34,32,38,30,27,32,2,3,2,1,2,3,5,3,1,3,0,0,0,0,0,2016,62870,HUMN INTST DRMA,BIOGRAPHICAL,OPEN ROAD FILMS,R,11/18/2016 0:00,11,3,1,2366810,3303704,1549,1528,8,NA,NA,5051927,NA
